name,address,city,phone,type
arnie morton's of chicago, 435 s. la cienega blv . ,los angeles,3102461501,american
art's delicatessen, 12224 ventura blvd. ,studio city,8187621221,american
campanile, 624 s. la brea ave. ,los angeles,2139381447,american
fenix, 8358 sunset blvd. west ,hollywood,2138486677,american
grill on the alley, 9560 dayton way ,los angeles,3102760615,american
restaurant katsu, 1972 n. hillhurst ave. ,los angeles,2136651891,asian
locanda veneta, 3rd st. ,los angeles,3102741893,italian
matsuhisa, 129 n. la cienega blvd. ,beverly hills,3106599639,asian
the palm, 9001 santa monica blvd. ,los angeles,3105508811,american
philippe's the original, 1001 n. alameda st. ,los angeles,2136283781,american
rex il ristorante, 617 s. olive st. ,los angeles,2136272300,italian
valentino, 3115 pico blvd. ,santa monica,3108294313,italian
yujean kang's gourmet chinese cuisine,67 n. raymond ave. ,los angeles,8185850855,asian
21 club,21 w. 52nd st. ,new york,2125827200,american
aureole,34 e. 61st st. ,new york,2123191660,american
cafe lalo, 201 w. 83rd st. ,new york,2124966031,coffeebar
carmine's, 2450 broadway between 90th and 91st sts . ,new york,2123622200,italian
chanterelle, 2 harrison st. near hudson st. ,new york,2129666960,american
dawat, 210 e. 58th st. ,new york,2123557555,asian
felidia, 243 e. 58th st. ,new york,2127581479,italian
four seasons grill room,99 e. 52nd st. ,new york,2127549494,american
gotham bar & grill,12 e. 12th st. ,new york,2126204020,american
gramercy tavern,42 e. 20th st. between park ave. s and broadway ,new york,2124770777,american
jo jo, 160 e. 64th st. ,new york,2122235656,american
lespinasse, 2 e. 55th st. ,new york,2123396719,american
march, 405 e. 58th st. ,new york,2127546272,american
mesa grill, 102 5th ave. between 15th and 16th sts . ,new york,2128077400,american
mi cocina,57 jane st. off hudson st. ,new york,2126278273,mexican
park avenue cafe, 100 e. 63rd st. ,new york,2126441900,american
river cafe, 1 water st. at the east river ,brooklyn,7185225200,american
san domenico, 240 central park s ,new york,2122655959,italian
seryna,11 e. 53rd st. ,new york,2129809393,asian
shun lee west,43 w. 65th st. ,new york,2123718844,asian
sign of the dove, 1110 3rd ave. at 65th st. ,new york,2128618080,american
smith & wollensky, 201 e. 49th st. ,new york,2127531530,american
tavern on the green, in central park at 67th st. ,new york,2128733200,american
union square cafe,21 e. 16th st. ,new york,2122434020,american
virgil's, 152 w. 44th st. ,new york,2129219494,american
chin's, 3200 las vegas blvd. s ,las vegas,7027338899,asian
coyote cafe, 3799 las vegas blvd. s ,las vegas,7028917349,southwestern
steak house, 2880 las vegas blvd. s ,las vegas,7027340410,steakhouses
abruzzi, 2355 peachtree rd. . peachtree battle shopping center ,atlanta,4042618186,italian
